years_practice,school,name,title,graduate_year,specialties,insurance
30+ Years,US International University,Wendy Hill,PhD,1972,"Anxiety,Relationship Issues,Couples Therapy/ Life Changes",
10+ Years,Nova Southeastern University,Hayley Silverman,"PsyD,Psychologist,, ",2004,"Depression,Anxiety,Child or Adolescent","Blue Shield,Cigna,Health Net,In-Network ""In Process"" for Aetna,In-Network ""In Process"" for Medi-Cal Public Sector,In-Network ""In Process"" for Medicare,In-Network ""In Process"" for Optum/ United Healthca,MHN,TRICARE,Out of Network"
5 Years,,Kathleen Stewart,"LMFT,MA,, ,Marriage & Family Therapist",2012,"Depression,Anxiety,Addiction",
7 Years,Long Island University,Margaret A. O'Hara,", ,Licensed Professional Counselor, ,DCC, ,CETII, ,LPCC,ICADC,LMHC",1996,"Addiction,Eating Disorders,Trauma and PTSD","Aetna,American Behavioral,Beacon,Blue Shield,Cigna,ComPsych,E4 Health Inc.,Magellan Behavioral Health,Multiplan,Optum,UnitedHealthcare,ValueOptions,Out of Network"
,,Lisa Plumb LMFT,"LMFT,MA,, ,Marriage & Family Therapist",,"Relationship Issues,Infertility,Coping Skills",
12 Years,University of Phoenix,Amber Michelle Monroe,"MA,MFT,, ,Marriage & Family Therapist",2005,"Eating Disorders,Codependency,Anxiety","Aetna,Blue Cross,Blue Shield,Cigna,Magellan Behavioral Health,Optum,TRICARE,UnitedHealthcare"
7 Years,Missouri State University,Sarah Wright,"LMFT,RPT,, ,Marriage & Family Therapist",2009,"Child or Adolescent,Trauma and PTSD,Anxiety","Health Net,TRICARE"
10+ Years,California School of Professional Psychology,Sheila Kamen,"PsyD,Psychologist,, ",2003,"Relationship Issues,School Issues,Sex Therapy","Beacon,ValueOptions,Out of Network"
4 Years,McMaster University,Reg Pyrke,CHt,1973,"Alcohol Abuse,Drug Abuse,Weight Loss",
,,Kim Klem,PhD,,"Suicidal Ideation,Borderline Personality,Chronic Pain",
,,Yvonne Venger,"LCSW,Clinical Social Work/Therapist,, ",,"Child or Adolescent,Relationship Issues,Parenting","Aetna,Optum,TRICARE"
,,Kathryn Hirst,"MD,, ,Psychiatrist",,"Addiction,Chronic Relapse,Anxiety",
7 Years,School of Professional Psychology (CSPP),Edgar Sierra,"MFT,MA,, ,Marriage & Family Therapist",2010,"Child or Adolescent,Relationship Issues,Parenting","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,Optum,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Out of Network"
20+ Years,Columbia University College of P&S,Rustin R Berlow,"MD,, ,Psychiatrist",1990,"Depression,Bipolar Disorder,ADHD",
10+ Years,,Dr. Leslie Thayer,"Psychologist,, ,PhD",,"Anxiety,Depression,Trauma and PTSD",
10+ Years,,Integrated Treatment Consulting,"LMFT,, ,Marriage & Family Therapist",,"Addiction,Mood Disorders,Relationship Issues","Anthem,Blue Cross,CalGETS,TriWest,Out of Network"
20+ Years,San Diego State University,Carol Susan Carr,"MPH,LMFT,MS,, ,Marriage & Family Therapist",1989,"Mood Disorders,Relationship Issues,Alcohol Abuse","Aetna,Anthem,BlueCross and BlueShield,Cigna,ComPsych,Holman Group,MHN,Magellan Behavioral Health,Multiplan,PacifiCare,TRICARE,UnitedHealthcare,ValueOptions,WellPoint,Out of Network"
10+ Years,University of Utah,Nicole S. Turville,"MSW,LCSW,Clinical Social Work/Therapist,, ",2005,"Anxiety,Grief,Relationship Issues","Blue Cross Blue Shield Out of Network Provider,Optum,TRICARE,UnitedHealthcare,Out of Network"
10+ Years,University of San Diego,Nancy Cowden,"MFT,, ,Marriage & Family Therapist",1999,"Relationship Issues,Self Esteem,Parenting","Blue Shield,MHN,Magellan Behavioral Health,Military OneSource,Optum,TriWest,UnitedHealthcare,ValueOptions"
4 Years,University of San Diego,Jen Fisher,"Marriage & Family Therapist Intern, ,MA,, ,IMF",2013,"Relationship Issues,Infertility,Pregnancy, Prenatal, Postpartum",
5 Years,Johnson State College,Ceylan V Onor,"LPC Intern, ,PCCI,MA,, ",2015,"Relationship Issues,Addiction,Life Transitions",
3 Years,,Micha Thomas,ACC,,"Life Coaching,Life Transitions,Career Counseling",
3 Years,Alliant International University - CSPP,Michelle Marie Carcel,"PsyD,Psychologist,, ",2013,"Eating Disorders,Anxiety,Depression","Cigna,Out of Network"
,Alliant International University,Katherine Leahy,"PsyD,LMFT,, ,Marriage & Family Therapist",2008,"Relationship Issues,Family Conflict,Marital and Premarital","BlueCross and BlueShield,MHN,Magellan Behavioral Health,Medicaid,Out of Network"
9 Years,"California State University, Fullerton",Dorrie Robles,"Coach,, ,LMFT,Marriage & Family Therapist,CHT,Life, ",2003,"Behavioral Issues,Bipolar Disorder,Relationship Issues","Aetna,Out of Network"
20+ Years,"University of California, Santa Barbara",Debra Dupree,"PsyD,LMFT,, ,Marriage & Family Therapist",1982,"Relationship Issues,Parenting,Divorce","Aetna,Anthem,BlueCross and BlueShield,Magellan Behavioral Health,TRICARE,TriWest,ValueOptions,Out of Network"
20+ Years,John F. Kennedy U. - Integral/Transpersonal Psych.,Intrapsyc,"MHRS, ,MHT,MA,, ,MS",2006,"Mood Disorders,Life Coaching,Relationship Issues",
10 Years,Alliant International University,Lily Kotila,"PhD(c),MAT, ,MA,, ,Marriage & Family Therapist",2006,"Drug Abuse,Medical Detox,Trauma and PTSD","For you to submit for insurance reimbursement,I am happy to fill out forms with ICD10 Codes,Out of Network"
10+ Years,"University of California, San Diego",Keith Angelin,"Drug & Alcohol Counselor,LAADC, ,CNMI,, ",,"Addiction,Drug Abuse,Alcohol Abuse",Receipts can be submitted for reimbursement
22 Years,Pacific Universtiy,Coastal Counseling Svc,"MFT,MA,, ,Marriage & Family Therapist",2002,"Child or Adolescent,Behavioral Issues,Trauma and PTSD","Beacon,Ceridian,Magellan Behavioral Health,Medicare,Military OneSource,Optum,TRICARE,Triwest Veteran's Choice,ValueOptions,WPS"
10+ Years,San Diego State University,Blake Zimmet,"LCSW,Clinical Social Work/Therapist,, ",2004,"Trauma and PTSD,Anxiety,Depression",Out of Network
10 Years,University of Phoenix,Stephen M. (Steve) Harmon,"LPCC,LMFT,, ,Marriage & Family Therapist",2006,"Relationship Issues,Gay,Elderly Persons Disorders",Out of Network
,,Michael Christian Koch,"Drug & Alcohol Counselor,BSCJA, ,SAP,, ,CADCII, ",,"Addiction,Alcohol Abuse,Drug Abuse",
5 Years,Pepperdine University,iTherapy on Demand.com,"Marriage & Family Therapist Intern, ,EMDR,CSAT,, ",,"Trauma and PTSD,Sexual Addiction,Relationship Issues","Medicare,Medicare,Super bill provided for insurance reimbursement,Out of Network"
10+ Years,United States International University,Carolyn M Light,"Psychologist,RN,, ,PhD",1999,"Anxiety,Assessment: Gifted and Talented,Depression",
8 Years,California School of Professional Psychology,"Clinical and Consulting Psychology Group, LLC","Psychologist,, ,PhD",2008,"Men's Issues,Grief,Depression","Aetna,Anthem,Blue Cross,Out of Network"
5 Years,California School of Professional Psychology,Bernadette Di Toro,"PsyD,MS,Pre-Licensed Professional,, ",2016,"Depression,Anxiety,Marital and Premarital","Aetna,Blue Cross,Blue Shield,Cigna,Magellan Behavioral Health,Medicare,Most PPO plans,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Out of Network"
4 Years,California School of Professional Psychology,Katie Erreca,"PsyD,Psychologist,, ",,"Eating Disorders,Anxiety,Child or Adolescent",Out of Network
4 Years,UCSD School of Medicine,Sylvia Cartwright,"MD,, ,Psychiatrist",2009,Medication Management,"Aetna,All PPO plans,Out of Network"
,,Odelia Morovati,"LMFT,RPT,, ,Marriage & Family Therapist",,"Child or Adolescent,Trauma and PTSD,Parenting","Blue Shield,Cigna,Magellan Behavioral Health,VA/Choice/Triwest,Out of Network"
,University of Santa Monica,Amber A Rice,"LMFT,, ,Marriage & Family Therapist",2006,"Codependency,Sex Therapy,Women's Issues",Victims of Crime
15+ Years,University of San Francisco,Betty Marie Lemos,"MFT,LPCC,MA,, ,Marriage & Family Therapist",1998,"Child or Adolescent,Anxiety,Domestic Violence","Anthem,Beacon,Blue Cross,Blue Shield,Ceridian,Cigna,EAP,MHN,MHNet Behavioral Health,Magellan Behavioral Health,ValueOptions"
30+ Years,California School of Professional Psychology,Steven D Solomon,"Psychologist,, ,PhD",1982,"Relationship Issues,Depression,Anxiety",Out of Network
,,Nadine Hyde,"PsyD,Psychologist,, ",,"Mood Disorders,Women's Issues,Coping Skills","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Health Net,Magellan Behavioral Health,Medicare,Optum,UnitedHealthcare"
10+ Years,UCSD,La Jolla Addiction Healing Center,"Drug & Alcohol Counselor,PhD,, ,CADAC, ",2004,"Substance Abuse,Alcohol Abuse,Dual Diagnosis",
7 Years,National University,Hope Family Interventions,CIP,2011,"Alcohol Abuse,Drug Abuse,Dual Diagnosis",
7 Years,San Diego State University,Michel Martir,"LCSW,Clinical Social Work/Therapist,, ",2011,Adoption,
10+ Years,National University,Jennifer Leonard,"LMFT,MA,, ,Marriage & Family Therapist",1997,"Child or Adolescent,Anxiety,Relationship Issues","Blue Shield,CalVCP,Molina,Out of Network"
8 Years,,Lisa Sanders,"LMFT,MA,, ,Marriage & Family Therapist",,"Depression,Trauma and PTSD,Anxiety","Anthem EAP,California Victims of Crime,MHN,Prime Healthcare,Veterans Choice"
20+ Years,University of Denver,Center For Healthy Change,"LCSW,Clinical Social Work/Therapist,, ,EMDR,MAC,CSAT",1992,"Addiction,Mood Disorders,Sexual Addiction",
5 Years,University of San Francisco,Theresa Huang,"LMFT,MA,, ,Marriage & Family Therapist",2010,"Child or Adolescent,ADHD,Parenting","Cigna,TriWest,Out of Network"
20+ Years,SDSU,Lynda Lennox,"LMFT,, ,Marriage & Family Therapist",1986,"Anxiety,Depression,Relationship Issues","Aetna,BlueCross and BlueShield,Ceridian,ComPsych,Magellan Behavioral Health,TRICARE"
10+ Years,Virginia Commonwealth University,Jeff Williams,"LCSW,Clinical Social Work/Therapist,, ",2009,"Family Conflict,Depression,Behavioral Issues","Aetna,Blue Cross,Blue Shield,Cigna,Great-West Life,MHN,Oxford,PPOs accepted,TRICARE,TriWest,UMR,ValueOptions"
10+ Years,California School of Professional Psychology,Jaqueline Kiefer,"Psychologist,, ,PhD",2001,"Depression,Anxiety,ADHD","Aetna,Cigna,MHN,Schaller Anderson,Out of Network"
15+ Years,National University,Maria Gallegos Skomal,"LMFT,, ,Marriage & Family Therapist",2001,"Depression,Anxiety,Child or Adolescent","Aetna,Anthem,BlueCross and BlueShield,Cigna,Coventry,Immigration assessments,LifeSynch,Optum,TRICARE,TriWest,ValueOptions"
,University of Phoenix,Momilana Aikens,"LMFT,MS,, ,Marriage & Family Therapist",2011,"Child or Adolescent,Family Conflict,Women's Issues",Out of Network
,United States International University,Barbara Fouts,"LEP,LMFT,, ,Marriage & Family Therapist",1999,"Relationship Issues,Trauma and PTSD,Behavioral Issues","Anthem,Beech Street,BlueCross and BlueShield,Ceridian,Cigna,MHN,Magellan Behavioral Health,TRICARE,TriWest,ValueOptions,Out of Network"
30+ Years,US International University,Felise B Levine,"Psychologist,, ,PhD",1986,"Anxiety,Depression,Relationship Issues","I provide a bill for you to get reimbursed,Out of Network"
,,Zulema Casiano,"MFT,, ,Marriage & Family Therapist",,"Family Conflict,Child or Adolescent,Self Esteem","Anthem,Cigna,MHN,Magellan Behavioral Health"
20+ Years,National University,Elise Wright Aballi,"MA,, ,LMFT,Marriage & Family Therapist,LPCC,CEAP",1990,"Anxiety,Chronic Pain,Sleep or Insomnia","Aetna,Anthem,Cigna,Military OneSource,Mutual of Omaha,ValueOptions,WellPoint,Out of Network"
20+ Years,Temple Univ-MA; Cal. Sch for Prof'l Psychology-PhD,Joan F. Pastor,"CLD,Psychologist,, ,PhD",2003,"Anger Management,Anxiety,Career Counseling",Out of Network
10+ Years,California School of Professional Psychology,Emily L Ziegler,"PsyD,Psychologist,, ",2005,"Depression,Anger Management,Anxiety","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Ceridian,Cigna,Magellan Behavioral Health,PacifiCare,TRICARE,TriWest,UMR,UnitedHealthcare,Out of Network"
10 Years,SDSU,Gabriel Lam,"LCSW,Clinical Social Work/Therapist,LPCC,, ",2005,"Depression,Anxiety,Trauma and PTSD","Anthem,BlueCross and BlueShield,Cenpatico,EAPC,Holman Group,Humana,MHN,Magellan Behavioral Health,Medicaid,Medicare,Molina,Out of Network"
10+ Years,Chapman University,Kelly Lewallen,"LMFT,, ,Marriage & Family Therapist",1997,,"Cigna,Out of Network"
10 Years,SDUIS,Carol Austin Hyde,"RN,LMFT,, ,Marriage & Family Therapist",2001,"Grief,Relationship Issues,Anxiety",Superbill given to client for their insurance .
15+ Years,"University of York, England",Debra Horsley,"LCSW,Clinical Social Work/Therapist,, ",1982,"Depression,Anxiety,Child or Adolescent","AMERIGROUP,APS Healthcare,Aetna,Alliance,AmeriHealth,American Behavioral,Beech Street,Behavioral Health Systems,BlueCross and BlueShield,CCN,CHIPA,Ceridian,ChoiceCare,Cigna,ComPsych,Corphealth,First Choice Health,First Health,GHI,Great-West Life,Guardian,HFN,Harvard Pilgrim,Health Net,Holman Group,Horizon Healthcare,Humana,Integrated Health Plan,Interplan,MHN,Magellan Behavioral Health,Multiplan,PHCS,PacifiCare,PacificSource,TRICARE,TriWest,UniCare,Uniform,UnitedHealthcare,VMC,ValueOptions,WellPoint"
15+ Years,"Psychiatry Residency, Naval Hospital San Diego",Jason H Bennett,"MD,, ,Psychiatrist",2001,"Anxiety,Depression,Relationship Issues","Aetna,Anthem,BlueCross and BlueShield,TRICARE,TriWest,UnitedHealthcare,Out of Network"
,,Tiziana m Tarquinio,"MFT,MA,, ,Marriage & Family Therapist",,"Anxiety,Trauma and PTSD,Depression","Behavioral Health Systems,Blue Shield,Health Net,MHN,Magellan Behavioral Health,TRICARE,TriWest,Out of Network"
9 Years,National University,Nasim Bavar,"MFT,MA,MS,, ,Marriage & Family Therapist",2005,"Relationship Issues,Anxiety,Gambling","Aetna,Holman Group,Out of Network"
,,Terry L Maxson,"LCSW,Clinical Social Work/Therapist,, ",,"Relationship Issues,Marital and Premarital,Child or Adolescent",Out of Network
10+ Years,University of San Diego,Talin Yesaie,"MFT,, ,Marriage & Family Therapist",2005,"Trauma and PTSD,Child or Adolescent,Parenting",
30+ Years,University of Southern California,Victoria Danzig,"LCSW,Clinical Social Work/Therapist,, ",1979,"Trauma and PTSD,Anxiety,Depression",
20+ Years,West Virginia University,Kathleen Rapp,"LCSW,Clinical Social Work/Therapist,, ",1982,"Trauma and PTSD,Depression,Asperger's Syndrome",Out of Network
,,Ryan Abuan,"LMFT,MA,, ,Marriage & Family Therapist",,"Anger Management,Relationship Issues,Stress","Medi-Cal,Out of Network"
7 Years,The New School,Jodi Abramowitz,"Psychologist,, ,PhD",2014,"Anxiety,Behavioral Issues,Child or Adolescent","Anthem,Out of Network"
7 Years,Georgetown University SOM,Kristy A Lamb,"MD,, ,Psychiatrist",2008,,Out of Network
9 Years,California School of Professional Psychology,eSupport Online Therapy - Dr. Ashley Lynch,"PsyD,Psychologist,DCC,, ",,"Anxiety,Eating Disorders,Substance Abuse",Out of Network
15+ Years,Saybrook Graduate School and Research Center,Thomas Conte Manheim,"Psychologist,, ,PhD",2007,"Depression,Anxiety,Relationship Issues","Aetna,Health Net,MHN,TRICARE,TriWest,Out of Network"
10 Years,Alliant International University,San Diego Therapy,"PhD(c),MAT, ,MA,, ,Marriage & Family Therapist",2006,"Relationship Issues,Trauma and PTSD,Divorce",Out of Network
20+ Years,,Elsa Alanis,"Psychologist,, ,PhD",1989,"Anxiety,Depression,Trauma and PTSD","APS Healthcare,Aetna,BlueCross and BlueShield,Health Net,Horizon Healthcare,Humana,MHN,Magellan Behavioral Health,Medicare,PHCS,PacifiCare,TRICARE,TriWest,UnitedHealthcare,WellPoint"
20+ Years,California School of Professional Psychology,Carol Randolph,"Psychologist,, ,PhD",1995,"Anxiety,Relationship Issues,Trauma and PTSD","TRICARE,Out of Network"
15+ Years,Pepperdine University,Dr. Michele Yvette Oster,"PsyD,Psychologist,, ",1995,"Anxiety,Mood Disorders,Chronic Pain","Aetna,Anthem,Beech Street,Behavioral Health Systems,Blue Cross,Blue Shield,BlueCross and BlueShield,CCN,Cigna,First Health,GEHA,MHN,Magellan Behavioral Health,Multiplan,Optum,PHCS,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Veterans Choice Program,Out of Network"
10+ Years,California Southern University,Marc J Davidoff,"PSYD,MFT,, ,Marriage & Family Therapist",2013,"Mood Disorders,Anger Management,Anxiety","TRICARE,Out of Network"
10 Years,California School of Professional Psychology,Shira A Oretzky,"Psychologist,, ,PhD",2006,"Depression,Anxiety,Child or Adolescent","Blue Shield,BlueCross and BlueShield,Out of Network"
7 Years,,Arash J. Khatami,"MD,, ,Psychiatrist",,"ADHD,Depression,Anxiety","Aetna,Anthem,Blue Cross,Out of Network"
4 Years,National University,Tiffani Taft,"LMFT,MA,, ,Marriage & Family Therapist",2012,"Trauma and PTSD,Sexual Addiction,Codependency","TRICARE,TriWest,Will provide a superbill,Out of Network"
9 Years,National University,Lea Walchshauser,"MFT,MA,, ,Marriage & Family Therapist",2010,Child or Adolescent,"Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,PacifiCare,TRICARE,TriWest,UMR,UnitedHealthcare,Out of Network"
,Boston University,Liza Helitzer,"LMFT,MA,, ,Marriage & Family Therapist",,"Child or Adolescent,Anxiety,Stress","Cigna,TRICARE,Out of Network"
20+ Years,,Carole Meredith,"MFT,, ,Marriage & Family Therapist",1990,"Anxiety,Depression,Relationship Issues","Coventry,First Health,Most PPO Plans,Out of Network"
15+ Years,Bryn Mawr College,Jacqueline Small,"LCSW,Clinical Social Work/Therapist,, ",1998,,Out of Network
18 Years,Antioch University Los Angeles,Nancy Capers,"LMFT,, ,Marriage & Family Therapist",1999,"Depression,Anxiety,Emotional Disturbance",Out of Network
,,ISFit Coaching - Shoshana Hanson,CSMC,,"Life Coaching,Anxiety,Divorce",
10 Years,California School of Professional Psychology,Valerie Rock,"PsyD,Psychologist,, ",2003,"Relationship Issues,Depression,Child or Adolescent","Aetna,Out of Network"
,,Cognitive Health Science Centers,,,"Behavioral Issues,Trauma and PTSD,Substance Abuse","Aetna,Anthem,Beacon,BlueCross and BlueShield,Cigna,Humana,MHN,Magellan Behavioral Health,Medicaid,Medical Mutual,Medicare,Molina,Optima,Optum,PacifiCare,PsychCare,TRICARE,UnitedHealthcare,ValueOptions,WellPoint,Z. Almost all insurance plans accepted,Z. Call for additional information,Z. Can assist in applying for insurance coverage,Z. Financing Available,Z. Flexible & Health Savings Accounts,Z. Forward Path incentive sliding fee scale,Out of Network"
